
-------------------------------------------------------------------------

   Type    File   Event 
      4       43      10
      8       43      10
      0       43      11
      2       43      17
      4       43      18
      8       43      18
      2       43      22
      4       43      22
      2       43      23
      2       43      24
      1       43      29
      5       43      29
      2       43      35
      4       43      35
      5       43      39
      8       43      39
      2       43      40
      4       43      40
      0       43      41
      0       43      43
      2       43      45
      2       43      46
      2       44       6
      8       44       9
      2       44      12
      5       44      13
      0       44      16
      0       44      18
      8       44      22
      3       44      24
      7       44      27
      2       44      35
      2       44      36
      3       44      41
      8       44      41
      2       44      48
      4       44      48
      0       45       5
      5       45      12
      2       45      14
      4       45      14
      0       45      18
      0       45      20
      3       45      21
      3       45      23
      0       45      26
      1       45      27
      1       45      30
      2       45      31
      5       45      49
      2       45      50
      3       46       1
      1       46       6
      0       46       7
      0       46      10
      2       46      11
      0       46      12
      1       46      13
      5       46      13
      2       46      14
      0       46      16
      2       46      29
      4       46      29
      5       46      30
      2       46      32
      2       46      35
      2       46      36
      4       46      36
      7       46      37
      1       46      41
      5       46      41
      2       46      46
      0       46      49
      3       47       2
      0       47       8
      0       47      11
      5       47      12
      5       47      13
      2       47      18
      3       47      20
      2       47      21
      4       47      21
      1       47      25
      5       47      25
      1       47      26
      8       47      28
      2       47      29
      1       47      36
      5       47      36
      1       47      40
      5       47      40
      2       47      44
      0       47      49
      0       48       1
      1       48       2
      1       48       3
      5       48       3
      2       48       5
      0       48      10
      0       48      11
      2       48      12
      0       48      21
      0       48      25
      2       48      26
      4       48      26
      0       48      31
      1       48      32
      5       48      32
      2       48      33
      0       48      36
      5       48      38
      0       48      42
      0       48      46
      2       48      48
      4       48      48
      2       49       2
      4       49       2
      2       49       4
      0       49       7
      2       49       8
      0       49      14
      3       49      15
      0       49      17
      0       49      20
      5       49      22
      0       49      23
      2       49      25
      2       49      26
      2       49      38
      4       49      41
      8       49      41
      1       49      48
      5       49      48
      0       49      50
      2       50       2
      4       50       2
      1       50       7
      5       50       7
      2       50       8
      4       50       8
      2       50       9
      2       50      10
      2       50      11
      4       50      11
      0       50      13
      0       50      19
      0       50      21
      0       50      26
      2       50      30
      0       50      31
      2       50      35
      1       50      40
      5       50      40
      0       50      49
      0       50      50
      2       51       4
      7       51       8
      0       51       9
      3       51      10
      8       51      10
      2       51      13
      4       51      17
      6       51      17
      0       51      18
      0       51      19
      2       51      27
      4       51      27
      5       51      31
      2       51      32
      0       51      33
      2       51      39
      4       51      42
      8       51      42
      5       51      45
      2       51      46
      2       52       3
      2       52       4
      0       52       5
      0       52       7
      1       52      10
      5       52      10
      1       52      12
      1       52      16
      0       52      19
      5       52      20
      2       52      25
      0       52      28
      0       52      34
      3       52      41
      1       52      43
      5       52      43
      5       52      47
      0       53       1
      4       53       7
      8       53       7
      1       53      11
      5       53      11
      8       53      11
      2       53      12
      2       53      13
      4       53      13
      3       53      14
      3       53      18
      0       53      19
      2       53      22
      2       53      25
      4       53      25
      2       53      27
      0       53      30
      0       53      32
      2       53      33
      4       53      33
      2       53      39
      4       53      39
      0       53      41
      2       53      42
      1       53      46
      0       53      47
      2       53      50
      0       54       6
      0       54       8
      0       54      15
      2       54      21
      4       54      21
      2       54      26
      1       54      30
      2       54      31
      4       54      31
      2       54      33
      0       54      34
      0       54      39
      0       54      40
      0       54      41
      0       54      42
      2       54      45
      4       54      45
      0       54      48
